1,IF.CFX,沪深300期货,,
2,IH.CFX,上证50期货,,
3,T.CFX,CFFEX10年期国债期货,,
4,IC.CFX,中证500期货,,
5,IM.CFX,中证1000期货,,
6,C.DCE,玉米主力,,
7,V.DCE,PVC主力,,
8,J.DCE,焦炭主力,,
9,M.DCE,豆粕主力,,
10,A.DCE,豆一主力,,
11,PP.DCE,聚丙烯主力,,
12,P.DCE,棕榈油主力,,
13,JD.DCE,鸡蛋主力,,
14,JM.DCE,焦煤主力,,
15,I.DCE,铁矿石主力,,
16,Y.DCE,豆油主力,,
17,EG.DCE,乙二醇主力,,
18,LH.DCE,生猪主力,,
19,SH.ZCE,烧碱主力,,
20,CJ.ZCE,红枣主力,,
21,UR.ZCE,尿素主力,,
22,TA.ZCE,PTA主力,,
23,MA.ZCE,甲醇主力,,
24,SR.ZCE,白糖主力,,
25,SM.ZCE,锰硅主力,,
26,FG.ZCE,玻璃主力,,
27,CF.ZCE,棉花主力,,
28,AP.ZCE,苹果主力,,
29,PR.ZCE,瓶片主力,,
30,SA.ZCE,纯碱主力,,
31,PK.ZCE,花生主力,,
32,AL.SHF,沪铝主力,,
33,CU.SHF,沪铜主力,,
34,AG.SHF,白银主力,,
35,RB.SHF,螺纹钢主力,,
36,SN.SHF,沪锡主力,,
37,NI.SHF,沪镍主力,,
38,AU.SHF,黄金主力,,
39,RU.SHF,橡胶主力,,
40,HC.SHF,热轧卷板主力,,
41,BU.SHF,沥青主力,,
42,SP.SHF,纸浆主力,,
43,EC.INE,集运指数(欧线)主力,,
44,SC.INE,原油主力,,
45,SI.GFE,工业硅主力,,
46,LC.GFE,碳酸锂主力,,
47,SF.ZCE,硅铁主力,,
